Well	Omit	Sample	Target	Dye	Task	Cq	Quantity	Quantification_Date	Row	Column	Extraction_Date	Extraction_Sample_Number	Strain	Sample_ID	Individual_ID	Time_Point	Species	Strain_Comparison	Sample_Type	Pellet_Number	Rerun	ID_Date	Fecal_Weight_g	Fecal_Weight_mg	Copies_16S_in_qPCR	Copies_16S_per_40ul_elution	Copies_16S_per_mg_Feces	ID_Extract_Quant_Date	Cq_Difference	Omit_Technical_Variation
B5	FALSE	Sample 18	Bacteria	SYBR	UNKNOWN	20.55000744	115018.9131	14-Apr-22	B	5	6-Apr-22	10	Pman	11A4	m1	w4	Feces_Output	Pman_vs_Pman	Feces_Output	p1	NA	11A4_44657	0.02	20	115019	4600757	230038	11A4_44657_44665	0.064801046	NA
B6	FALSE	Sample 18	Bacteria	SYBR	UNKNOWN	20.48520639	120081.8413	14-Apr-22	B	6	6-Apr-22	10	Pman	11A4	m1	w4	Feces_Output	Pman_vs_Pman	Feces_Output	p1	NA	11A4_44657	0.02	20	120082	4803274	240164	11A4_44657_44665	0.064801046	NA
C6	FALSE	Sample 19	Bacteria	SYBR	UNKNOWN	19.13250473	295122.7404	14-Apr-22	C	6	6-Apr-22	11	Pman	11b4	m2	w4	Feces_Output	Pman_vs_Pman	Feces_Output	p1	NA	11b4_44657	0.018	18.3	295123	11804910	645077	11b4_44657_44665	0.003964644	NA
C5	FALSE	Sample 19	Bacteria	SYBR	UNKNOWN	19.12854009	295901.5694	14-Apr-22	C	5	6-Apr-22	11	Pman	11b4	m2	w4	Feces_Output	Pman_vs_Pman	Feces_Output	p1	NA	11b4_44657	0.018	18.3	295902	11836063	646779	11b4_44657_44665	0.003964644	NA
D5	FALSE	Sample 20	Bacteria	SYBR	UNKNOWN	20.57126026	113405.3552	14-Apr-22	D	5	6-Apr-22	12	Mmus_B6Con	15A3	m1	w3	Feces_Output	Mmus_B6Con_vs_Mmus_B6Con	Feces_Output	p1	NA	15A3_44657	0.019	18.8	113405	4536214	241288	15A3_44657_44665	0.128715628	NA
D6	FALSE	Sample 20	Bacteria	SYBR	UNKNOWN	20.44254464	123536.0753	14-Apr-22	D	6	6-Apr-22	12	Mmus_B6Con	15A3	m1	w3	Feces_Output	Mmus_B6Con_vs_Mmus_B6Con	Feces_Output	p1	NA	15A3_44657	0.019	18.8	123536	4941443	262843	15A3_44657_44665	0.128715628	NA
E5	FALSE	Sample 21	Bacteria	SYBR	UNKNOWN	20.88428594	92100.70716	14-Apr-22	E	5	6-Apr-22	13	Mmus_B6Con	15B3	m2	w3	Feces_Output	Mmus_B6Con_vs_Mmus_B6Con	Feces_Output	p1	NA	15B3_44657	0.018	18	92101	3684028	204668	15B3_44657_44665	0.324934382	NA
E6	FALSE	Sample 21	Bacteria	SYBR	UNKNOWN	20.55935156	114306.6795	14-Apr-22	E	6	6-Apr-22	13	Mmus_B6Con	15B3	m2	w3	Feces_Output	Mmus_B6Con_vs_Mmus_B6Con	Feces_Output	p1	NA	15B3_44657	0.018	18	114307	4572267	254015	15B3_44657_44665	0.324934382	NA
G6	FALSE	Sample 23	Bacteria	SYBR	UNKNOWN	20.98803124	85963.02097	14-Apr-22	G	6	6-Apr-22	15	Mmus_LEW	20A4	m1	w4	Feces_Output	Mmus_LEW_vs_Mmus_LEW	Feces_Output	p1	NA	20A4_44657	0.015	14.6	85963	3438521	235515	20A4_44657_44665	0.02468395	NA
G5	FALSE	Sample 23	Bacteria	SYBR	UNKNOWN	20.96334729	87385.20964	14-Apr-22	G	5	6-Apr-22	15	Mmus_LEW	20A4	m1	w4	Feces_Output	Mmus_LEW_vs_Mmus_LEW	Feces_Output	p1	NA	20A4_44657	0.015	14.6	87385	3495408	239412	20A4_44657_44665	0.02468395	NA
F6	FALSE	Sample 22	Bacteria	SYBR	UNKNOWN	21.33608926	68206.72917	14-Apr-22	F	6	6-Apr-22	14	Mmus_LEW	20B4	m2	w4	Feces_Output	Mmus_LEW_vs_Mmus_LEW	Feces_Output	p1	NA	20B4_44657	0.01	9.8	68207	2728269	278395	20B4_44657_44665	0.02772072	NA
F5	FALSE	Sample 22	Bacteria	SYBR	UNKNOWN	21.30836854	69475.26357	14-Apr-22	F	5	6-Apr-22	14	Mmus_LEW	20B4	m2	w4	Feces_Output	Mmus_LEW_vs_Mmus_LEW	Feces_Output	p1	NA	20B4_44657	0.01	9.8	69475	2779011	283573	20B4_44657_44665	0.02772072	NA
A4	FALSE	Sample 9	Bacteria	SYBR	UNKNOWN	20.6947982	104464.3548	14-Apr-22	A	4	6-Apr-22	1	Mmus_NY2	3A4	m1	w4	Feces_Output	Mmus_NY2_vs_Mmus_NY2	Feces_Output	p1	NA	3A4_44657	0.016	16.2	104464	4178574	257937	3A4_44657_44665	0.087881377	NA
A3	FALSE	Sample 9	Bacteria	SYBR	UNKNOWN	20.60691683	110748.921	14-Apr-22	A	3	6-Apr-22	1	Mmus_NY2	3A4	m1	w4	Feces_Output	Mmus_NY2_vs_Mmus_NY2	Feces_Output	p1	NA	3A4_44657	0.016	16.2	110749	4429957	273454	3A4_44657_44665	0.087881377	NA
B3	FALSE	Sample 10	Bacteria	SYBR	UNKNOWN	21.47859155	62042.14084	14-Apr-22	B	3	6-Apr-22	2	Mmus_NY2	3B4	m2	w4	Feces_Output	Mmus_NY2_vs_Mmus_NY2	Feces_Output	p1	NA	3B4_44657	0.01	9.8	62042	2481686	253233	3B4_44657_44665	0.028075966	NA
B4	FALSE	Sample 10	Bacteria	SYBR	UNKNOWN	21.45051558	63210.94952	14-Apr-22	B	4	6-Apr-22	2	Mmus_NY2	3B4	m2	w4	Feces_Output	Mmus_NY2_vs_Mmus_NY2	Feces_Output	p1	NA	3B4_44657	0.01	9.8	63211	2528438	258004	3B4_44657_44665	0.028075966	NA
C4	FALSE	Sample 11	Bacteria	SYBR	UNKNOWN	27.44203488	1177.71191	14-Apr-22	C	4	6-Apr-22	3	Mpah	5A3	m1	w3	Feces_Output	Mpah_vs_Mpah	Feces_Output	p1	NA	5A3_44657	0.03	29.8	1178	47108	1581	5A3_44657_44665	0.036146826	NA
C3	FALSE	Sample 11	Bacteria	SYBR	UNKNOWN	27.40588805	1206.353714	14-Apr-22	C	3	6-Apr-22	3	Mpah	5A3	m1	w3	Feces_Output	Mpah_vs_Mpah	Feces_Output	p1	NA	5A3_44657	0.03	29.8	1206	48254	1619	5A3_44657_44665	0.036146826	NA
D4	FALSE	Sample 12	Bacteria	SYBR	UNKNOWN	25.11906696	5516.714857	14-Apr-22	D	4	6-Apr-22	4	Mpah	5B3	m2	w3	Feces_Output	Mpah_vs_Mpah	Feces_Output	p1	NA	5B3_44657	0.027	26.5	5517	220669	8327	5B3_44657_44665	0.115838607	NA
D3	FALSE	Sample 12	Bacteria	SYBR	UNKNOWN	25.00322835	5958.311091	14-Apr-22	D	3	6-Apr-22	4	Mpah	5B3	m2	w3	Feces_Output	Mpah_vs_Mpah	Feces_Output	p1	NA	5B3_44657	0.027	26.5	5958	238332	8994	5B3_44657_44665	0.115838607	NA
E4	FALSE	Sample 13	Bacteria	SYBR	UNKNOWN	23.38733232	17443.46654	14-Apr-22	E	4	6-Apr-22	5	Mpah	5B4	m2	w4	Feces_Output	Mpah_vs_Mpah	Feces_Output	p1	NA	5B4_44657	0.023	22.6	17443	697739	30873	5B4_44657_44665	0.239699905	NA
E3	FALSE	Sample 13	Bacteria	SYBR	UNKNOWN	23.14763241	20456.63631	14-Apr-22	E	3	6-Apr-22	5	Mpah	5B4	m2	w4	Feces_Output	Mpah_vs_Mpah	Feces_Output	p1	NA	5B4_44657	0.023	22.6	20457	818265	36206	5B4_44657_44665	0.239699905	NA
F4	FALSE	Sample 14	Bacteria	SYBR	UNKNOWN	20.67235626	106034.483	14-Apr-22	F	4	6-Apr-22	6	Mspic_SPITUA	6A4	m1	w4	Feces_Output	Mspic_SPITUA_vs_Mspic_SPITUA	Feces_Output	p1	NA	6A4_44657	0.024	23.9	106034	4241379	177464	6A4_44657_44665	0.16943224	NA
F3	FALSE	Sample 14	Bacteria	SYBR	UNKNOWN	20.50292402	118675.8242	14-Apr-22	F	3	6-Apr-22	6	Mspic_SPITUA	6A4	m1	w4	Feces_Output	Mspic_SPITUA_vs_Mspic_SPITUA	Feces_Output	p1	NA	6A4_44657	0.024	23.9	118676	4747033	198621	6A4_44657_44665	0.16943224	NA
G4	FALSE	Sample 15	Bacteria	SYBR	UNKNOWN	19.9863919	167295.8693	14-Apr-22	G	4	6-Apr-22	7	Mspic_SPITUA	6B4	m2	w4	Feces_Output	Mspic_SPITUA_vs_Mspic_SPITUA	Feces_Output	p1	NA	6B4_44657	0.014	14	167296	6691835	477988	6B4_44657_44665	0.120055233	NA
G3	FALSE	Sample 15	Bacteria	SYBR	UNKNOWN	19.86633667	181194.5773	14-Apr-22	G	3	6-Apr-22	7	Mspic_SPITUA	6B4	m2	w4	Feces_Output	Mspic_SPITUA_vs_Mspic_SPITUA	Feces_Output	p1	NA	6B4_44657	0.014	14	181195	7247783	517699	6B4_44657_44665	0.120055233	NA
H4	FALSE	Sample 16	Bacteria	SYBR	UNKNOWN	24.46278895	8533.912321	14-Apr-22	H	4	6-Apr-22	8	Mspic_ZBN	9A4	m1	w4	Feces_Output	Mspic_ZBN_vs_Mspic_ZBN	Feces_Output	p1	NA	9A4_44657	0.018	17.5	8534	341356	19506	9A4_44657_44665	0.473113753	NA
H3	FALSE	Sample 16	Bacteria	SYBR	UNKNOWN	23.98967519	11687.8935	14-Apr-22	H	3	6-Apr-22	8	Mspic_ZBN	9A4	m1	w4	Feces_Output	Mspic_ZBN_vs_Mspic_ZBN	Feces_Output	p1	NA	9A4_44657	0.018	17.5	11688	467516	26715	9A4_44657_44665	0.473113753	NA
A6	FALSE	Sample 17	Bacteria	SYBR	UNKNOWN	18.90478666	343356.241	14-Apr-22	A	6	6-Apr-22	9	Mspic_ZBN	9B4	m2	w4	Feces_Output	Mspic_ZBN_vs_Mspic_ZBN	Feces_Output	p1	NA	9B4_44657	0.012	11.6	343356	13734250	1183987	9B4_44657_44665	0.07038873	NA
A5	FALSE	Sample 17	Bacteria	SYBR	UNKNOWN	18.83439793	359804.1689	14-Apr-22	A	5	6-Apr-22	9	Mspic_ZBN	9B4	m2	w4	Feces_Output	Mspic_ZBN_vs_Mspic_ZBN	Feces_Output	p1	NA	9B4_44657	0.012	11.6	359804	14392167	1240704	9B4_44657_44665	0.07038873	NA
E6	FALSE	C57_1431F	Target 1	SYBR	UNKNOWN	21.38712697	61361.41597	7-Apr-22	E	6	31-Mar-22	7	Mmus_B6Con	C57_1431F	m1	w0	Mmus	Donor	Donor	p1	NA	C57_1431F_44651	0.014	14	61361	2454457	175318	C57_1431F_44651_44658	0.972268777	Omit
E5	FALSE	C57_1431F	Target 1	SYBR	UNKNOWN	20.41485819	109669.42	7-Apr-22	E	5	31-Mar-22	7	Mmus_B6Con	C57_1431F	m1	w0	Mmus	Donor	Donor	p1	NA	C57_1431F_44651	0.014	14	109669	4386777	313341	C57_1431F_44651_44658	0.972268777	Omit
G12	FALSE	Sample 47	Bacteria	SYBR	UNKNOWN	17.8831207	677173.8587	14-Apr-22	G	12	31-Mar-22	7	Mmus_B6Con	C57_1431F	m1	w0	Mmus	Donor	Donor	p1	redilute	C57_1431F_44651	0.014	14	677174	27086954	1934782	C57_1431F_44651_44665	0.23368139	NA
G11	FALSE	Sample 47	Bacteria	SYBR	UNKNOWN	17.64943931	790977.3823	14-Apr-22	G	11	31-Mar-22	7	Mmus_B6Con	C57_1431F	m1	w0	Mmus	Donor	Donor	p1	redilute	C57_1431F_44651	0.014	14	790977	31639095	2259935	C57_1431F_44651_44665	0.23368139	NA
